classname,class_idx
Abrasive Products and Grinding Equipment,0
Access Equipment,1
Accident and Emergency Hospitals,2
Accountants and Auditors,3
Adhesives and Sealants,4
Adult Services,5
Adult Shops,6
Adult Venues,7
Advertising Services,8
Aeroplanes,9
Agricultural Contractors,10
Agricultural Machinery and Goods,11
Air and Water Filtration,12
Aircraft Charters,13
Airlines and Airline Services,14
Airports and Landing Strips,15
Alcoholic Drinks,16
Alcoholic Drinks Including Off Licences and Wholesalers,17
Allotments,18
"Alternative, Natural and Complementary",19
Ambulance and Medical Transportation Services,20
Amusement Parks and Arcades,21
Angling and Sports Fishing,22
Animal Breeders (Not Horses),23
Animal Clipping and Grooming,24
"Animal Feeds, Pet Foods, Hay and Straw",25
Animal Transportation,26
Animal Welfare Organisations,27
Aquaria and Sea Life Centres,28
Aqueducts,29
Arable Farming,30
Archaeological Sites,31
Architectural and Building Related Consultants,32
Armed Services,33
Arms and Ammunition,34
Art Galleries,35
Art and Antiques,36
"Artists, Illustrators and Calligraphers",37
"Astrologers, Clairvoyants and Palmists",38
Athletics Facilities,39
"Auctioneers, Auction Rooms and Valuers",40
Aviation Engineers,41
Baby and Nursery Equipment and Children'S Clothes,42
"Baby, Nursery and Playground Equipment",43
Bakeries,44
Baking and Confectionery,45
Ballet and Dance Schools,46
Banks and Building Societies,47
Banqueting and Function Rooms,48
"Bathroom Fixtures, Fittings and Sanitary Equipment",49
Battlefields,50
"Bearing, Gear and Drive Elements",51
Beauty and Hairdressing Schools,52
Bed and Breakfast and Backpacker Accommodation,53
Beds and Bedding,54
Bee Keepers,55
Beekeeping Supplies,56
Bingo Halls,57
"Bird Reserves, Collections and Sanctuaries",58
Blood Transfusion Service,59
Boat Hiring Services,60
Bookmakers,61
Books and Maps,62
Bouncy Castles and Inflatables Hire,63
Bowling Facilities,64
"Bricks, Tiles, Clay and Ceramic Products",65
Bridges,66
Broad Age Range and Secondary State Schools,67
Brushes,68
Building Contractors,69
Building Repairs,70
Building and Component Suppliers,71
Bus Stops,72
"Bus and Coach Stations, Depots and Companies",73
Business Parks and Industrial Estates,74
Business Related Consultants,75
Butchers,76
"Cable, Wire and Fibre Optics",77
"Cafes, Snack Bars and Tea Rooms",78
Camping and Caravanning,79
"Camping, Caravanning, Mobile Homes, Holiday Parks and Centres",80
Candles,81
Canvas Goods,82
Car Ports and Steel Buildings,83
Careers Offices and Armed Forces Recruitment,84
"Carpets, Flooring, Rugs and Soft Furnishings",85
"Carpets, Rugs, Soft Furnishings and Needlecraft",86
Cash Machines,87
Cash and Carry,88
Casinos,89
Catering Services,90
Catering and Non Specific Food Products,91
Cattle Grids,92
Cemeteries and Crematoria,93
Central Government,94
Charitable Organisations,95
Charity Shops,96
Chemical Engineers,97
Chemists and Pharmacies,98
Cheque Cashing,99
Children'S Activity Centres,100
China and Glassware,101
Cinemas,102
Civil Engineers,103
Cleaning Equipment and Supplies,104
Cleaning Services,105
Clearance and Salvage Dealers,106
Climbing Facilities,107
Clinics and Health Centres,108
Clothing,109
Clothing Hire,110
"Clothing, Components and Accessories",111
Coal Mining,112
Coastal Safety,113
"Colours, Chemicals and Water Softeners and Supplies",114
"Combat, Laser and Paintball Games",115
Comics Bookshops,116
Commercial Property Letting,117
Commodity Dealers,118
Commons,119
Community Networks and Projects,120
Company Registration and Trademarks,121
Computer Consultants,122
Computer Security,123
Computer Shops,124
Computer Supplies,125
Computer Systems Services,126
Concert/Exhibition Organisers and Services,127
Concrete Products,128
Confectioners,129
Conference and Exhibition Centres,130
Conservation Organisations,131
Conservatories,132
Construction Completion Services,133
Construction Plant,134
Construction Service Consultants,135
Construction and Tool Hire,136
Consular Services,137
Container and Storage,138
Contract Cleaning Services,139
Convenience Stores and Independent Supermarkets,140
Cookers and Stoves - Non Electrical,141
Cooling and Refrigeration,142
Copyright and Patent,143
"Cosmetics, Toiletries and Perfumes",144
"Cosmetics, Toiletries, Perfumes and Hairdressing Supplies",145
Counselling and Advice Services,146
Country and National Parks,147
"Courier, Delivery and Messenger",148
"Courts, Court Services and Tribunals",149
Craft Supplies,150
Credit Reference Agencies,151
Currency Conversion and Money Transfers,152
Curtains and Blinds,153
Customer Service Centres,154
Cutlery and Tableware,155
"Cutting, Drilling  and Welding Services",156
Cv Writers,157
Cycles and Accessories,158
Dairy Farming,159
Dairy Products,160
Database Services,161
Day and Care Centres,162
Debt Collecting Agencies,163
Delicatessens,164
Demolition Services,165
Dental Surgeries,166
Dental Technicians,167
Dental and Medical Laboratories,168
Department Stores,169
Design Services,170
Designated Scenic Features,171
Desktop Publishing Services,172
Detective and Investigation Agencies,173
Dieticians and Nutritionists,174
Disability and Mobility Equipment,175
Discount Stores,176
Display and Window Dressers,177
