ref_no,name,pointx_class,feature_easting,feature_northing,description,x_normed,y_normed,longitude,latitude
108409243,GMB - Trade Union,2100167,529564.3,182482.7,"A place of headquarters, administration and central offices, a type of personal, consumer and other services",0.443123763653565,0.586432690238017,-0.1357278477204972,51.52640294715904
127061660,Electricity Sub Station,6340433,525293.8,183412.8,"A place of electrical features, a type of infrastructure and facilities",0.3721338264384622,0.6010920914003467,-0.1949573352767732,51.53314743653583
107699881,Wi-Fi Hotspot (O2 Limited),6340802,526136.3,164149.7,"A place of wifi hotspots, a type of infrastructure and facilities",0.384195407241764,0.1665575330516252,-0.1916750589313797,51.360631186634905
41265377,Queensway,10540736,544295.8,167850.7,"A place of parking, a type of road and rail transport",0.6985980906510708,0.2515322132976855,0.0721969839225008,51.38998941567132
95844272,Piazza,1020013,532095.5,181770.4,"A place of cafes, snack bars and tea rooms, a type of eating and drinking",0.4888105272211232,0.5723850415198649,-0.0976957140914825,51.52021687714106
160771332,St Johns Wood Day Nursery & Preschool,5320397,526553.6,183760.3,"A place of nursery schools and pre and after school care, a type of recreational and vocational education",0.3932398727100714,0.6156382050730138,-0.177046181197673,51.53864376655064
64277536,Honours Ice Cream,2070098,547303.8,180842.4,"A place of catering services, a type of contract services",0.7537283908144835,0.5521972108620045,0.1237552670179634,51.50840196210395
91424292,Petrie Museum of Egyptian Archaeology,3170248,529719.8,182194.0,"A place of museums, a type of historical and cultural attractions",0.4477509245721166,0.5783892784719783,-0.131982991324346,51.52315096285563
125618130,D J Domestic Appliance Service & Repairs,9480721,509677.3,179820.9,"A place that sells domestic appliances, a type of retail",0.1017631375247269,0.528134948057686,-0.4224719376573947,51.507471554146704
68811928,A Radical Church,6340459,540690.8,185507.4,"A place of places of worship, a type of infrastructure and facilities",0.6373269114990969,0.6538614040851469,0.0281030061159952,51.550446452621976
22043465,Bus Stop (Barkingside Tesco),10590732,544386.4,189785.3,"A place of bus stops, a type of bus transport",0.6989593188268685,0.7476407880277781,0.0814411619538248,51.58673287323661
127712723,Grays Antiques Ltd,9470705,528488.0,181052.9,"A place of markets, a type of retail",0.4285198245463146,0.5536699482276172,-0.1484868934604039,51.51360156496392
141290404,Wenzel's the Bakers,9470661,515497.4,188258.8,"A place that sells bakeries, a type of retail",0.201978154296035,0.7180274382299963,-0.3358146139741111,51.5816388170808
43516765,Duke's Aldridge,5310379,534174.9,191300.5,"A place of broad age range and secondary state schools, a type of primary, secondary and tertiary education",0.5255543132364321,0.7872098424171018,-0.0633107327021185,51.60491590314359
146547588,Artisan & Vine,9470671,523470.5,175815.7,"A place that sells alcoholic drinks including off licences and wholesalers, a type of retail",0.3380579685215447,0.4364853689207101,-0.2260411300055941,51.468290071061496
22053113,Bus Stop (Pennine Drive Claremont Road),10590732,523841.9,186536.1,"A place of bus stops, a type of bus transport",0.3462630085146641,0.6805972516455008,-0.2153958211813205,51.56501521287341
64004058,Electricity Sub Station,6340433,539900.6,184400.8,"A place of electrical features, a type of infrastructure and facilities",0.6211576502967231,0.6288928413635282,0.0141175955351668,51.54077765289252
166916976,Wimbledon Ambulance Station,5290356,524156.4,170099.6,"A place of ambulance and medical transportation services, a type of health support services",0.3513890083426507,0.3051625109039209,-0.2169186515749319,51.416029880108354
22053708,Bus Stop (Queenswood Avenue),10590732,512974.6,176462.6,"A place of bus stops, a type of bus transport",0.1591468134514492,0.4482899253435443,-0.3755493104266627,51.47514123299577
54987139,Alfaman Services Ltd,2130212,513182.0,187596.7,"A place of vehicle repair, testing and servicing, a type of repair and servicing",0.1613829878730541,0.7012382322620113,-0.3700991677010161,51.57545669973921
161026712,Play Area,3180255,544470.2,185251.3,"A place of playgrounds, a type of recreational attractions",0.7007138556807431,0.6491259870172537,0.0811277397792028,51.54763797284818
151350077,McMahon Management,2050079,520415.3,181708.6,"A place of modelling and theatrical agencies, a type of employment and career agencies",0.2862475273071299,0.565497162148384,-0.2674436838856097,51.52011274269941
167777889,The Pemberdeen Laser Cosmetic Surgery Clinic Ltd,5280365,547463.1,178153.3,"A place of clinics and health centres, a type of health practitioners and establishments",0.7521974714027694,0.4871022193019225,0.1212742014268463,51.48261049154254
78302052,Sandwich Cafe Ltd,1020013,540570.1,171031.5,"A place of cafes, snack bars and tea rooms, a type of eating and drinking",0.6356239786703363,0.3271176264005166,0.0209372989576058,51.420884144669685
